Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R005875,"Sanchez, Delora R",Cornerstone Government Affairs,Johns Hopkins,11/01/20-10/31/21
R007405,Service Employees International Union,"Park, Saerom ",Service Employees International Union,02/03/21-10/31/21
R008216,Service Employees International Union,"Park, Saerom ",Service Employees International Union,11/01/21-10/31/22
R008794,"Sherman, Angela R",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/21-10/31/22
R007801,"Sherman, Angela R",Maryland Independent College & University Assocation,Maryland Independent College and University Association,05/25/21-10/31/21
R011061,"Simon, Travis Blake",SEIU Local 500,SEIU Local 500,11/30/21-10/31/22
R007362,"Simon, Travis Blake",SEIU Local 500,SEIU Local 500,01/29/21-10/31/21
R003538,"Tarlau, Jimmy ",People's Lobbying Group,Maryland Consumer Rights Coalition,02/01/20-10/31/20
R003621,"Tompsett Jr., Thomas R.",Harris Jones & Malone,DeVry University,02/13/20-10/31/20
R003009,"Tompsett Jr., Thomas R.",Harris Jones & Malone,Johns Hopkins,12/27/19-10/31/20
R006229,"Tompsett Jr., Thomas R.",Harris Jones & Malone,Johns Hopkins,11/01/20-10/31/21
R009443,"Tompsett Jr., Thomas R.",Harris Jones & Malone,Johns Hopkins,11/01/21-10/31/22
R010665,"Wallace , K. Alexander ","Z&C, LLC",Baltimore Collegetown Network,11/01/21-10/31/22
R003512,"White, Marceline Awards",Maryland Consumer Rights Coalition,Maryland Consumer Rights Coalition,02/04/20-10/31/20
R003901,"Winfield Dixon, Takirra ",The Education Trust,"Education Trust, The",02/26/20-10/31/20
R011017,"Yeiser, Gail Poffenberger","Maryland Agriculture Council, Inc.","Maryland Agriculture Council, Inc.",11/01/21-10/31/22
R010656,"Zektick, Barbara Sharon",Z & C LLC,Baltimore Collegetown Network,11/01/21-10/31/22
